timestamp,linea,consumo_kwh,potencia_activa_kw,potencia_reactiva_kvar,factor_potencia,tension_v,intensidad_a,frecuencia_hz,energia_acumulada_mwh,coste_estimado_eur,tarifa,demanda_pico_kw
2026-01-15 00:00:00,L1,285.5,570,125,0.977,400.2,823,50.01,12450.5,28.55,Valle,580
2026-01-15 00:00:00,L2,198.2,396,85,0.978,399.8,572,50.00,8920.3,19.82,Valle,405
2026-01-15 00:00:00,L3,312.8,626,142,0.975,400.5,903,50.02,14280.2,31.28,Valle,640
2026-01-15 00:00:00,L4,245.6,491,108,0.976,400.0,710,50.01,11150.8,24.56,Valle,502
2026-01-15 00:00:00,L5,125.3,251,55,0.977,399.5,362,50.00,5680.4,12.53,Valle,260
2026-01-15 06:00:00,L1,320.8,641,145,0.975,400.8,927,50.02,12771.3,48.12,Llano,655
2026-01-15 06:00:00,L2,225.5,451,98,0.977,400.2,652,50.01,9145.8,33.83,Llano,462
2026-01-15 06:00:00,L3,358.2,716,162,0.975,401.0,1035,50.02,14638.4,53.73,Llano,732
2026-01-15 06:00:00,L4,278.9,558,125,0.976,400.5,807,50.01,11429.7,41.84,Llano,572
2026-01-15 06:00:00,L5,142.6,285,62,0.977,399.8,412,50.00,5823.0,21.39,Llano,292
2026-01-15 12:00:00,L1,385.2,770,175,0.975,401.2,1114,50.03,13156.5,69.34,Punta,788
2026-01-15 12:00:00,L2,268.4,537,118,0.977,400.8,776,50.02,9414.2,48.31,Punta,550
2026-01-15 12:00:00,L3,425.6,851,195,0.975,401.5,1230,50.03,15064.0,76.61,Punta,872
2026-01-15 12:00:00,L4,332.8,666,150,0.976,401.0,963,50.02,11762.5,59.90,Punta,682
2026-01-15 12:00:00,L5,168.5,337,75,0.976,400.2,488,50.01,5991.5,30.33,Punta,348
2026-01-15 18:00:00,L1,345.6,691,158,0.975,400.5,999,50.02,13502.1,51.84,Llano,708
2026-01-15 18:00:00,L2,242.1,484,106,0.977,400.0,700,50.01,9656.3,36.32,Llano,496
2026-01-15 18:00:00,L3,382.4,765,175,0.975,400.8,1105,50.02,15446.4,57.36,Llano,785
2026-01-15 18:00:00,L4,298.5,597,135,0.976,400.2,863,50.01,12061.0,44.78,Llano,612
2026-01-15 18:00:00,L5,152.8,306,68,0.976,399.5,441,50.00,6144.3,22.92,Llano,315
2026-01-16 00:00:00,L1,288.2,576,128,0.976,400.0,832,50.01,13790.3,28.82,Valle,588
2026-01-16 00:00:00,L2,195.8,392,86,0.977,399.5,566,50.00,9852.1,19.58,Valle,402
2026-01-16 00:00:00,L3,315.4,631,145,0.975,400.2,912,50.02,15761.8,31.54,Valle,645
2026-01-16 00:00:00,L4,248.2,496,110,0.976,399.8,717,50.01,12309.2,24.82,Valle,508
2026-01-16 00:00:00,L5,128.5,257,58,0.975,399.2,371,50.00,6272.8,12.85,Valle,265
