muestra_id,lote_id,fecha_analisis,analista,mfi_g_10min,densidad_g_cm3,resistencia_traccion_mpa,elongacion_rotura_pct,modulo_flexion_mpa,dureza_shore,cenizas_pct,humedad_ppm,color_yellowness,resultado,comentarios
QC-2026-0001,LOT-2026-0001,2026-01-15 07:30:00,Laura Sánchez,0.35,0.952,28.5,850,1150,65,0.02,180,1.2,Conforme,
QC-2026-0002,LOT-2026-0002,2026-01-15 09:15:00,Miguel Torres,2.1,0.922,15.2,550,185,42,0.01,250,0.8,Conforme,
QC-2026-0003,LOT-2026-0003,2026-01-15 11:00:00,Laura Sánchez,4.0,0.905,32.5,400,1450,72,0.03,120,1.5,Conforme,
QC-2026-0004,LOT-2026-0004,2026-01-15 15:30:00,Miguel Torres,0.36,0.951,28.2,840,1145,64,0.02,190,1.3,Conforme,
QC-2026-0005,LOT-2026-0005,2026-01-15 17:00:00,Laura Sánchez,0.78,1.340,55.0,320,2800,85,0.04,350,2.1,No conforme,Cristalización incompleta - repetir análisis
QC-2026-0006,LOT-2026-0006,2026-01-16 07:30:00,Miguel Torres,2.3,0.923,14.8,520,180,41,0.01,220,0.7,Conforme,
QC-2026-0007,LOT-2026-0007,2026-01-16 10:00:00,Laura Sánchez,7.0,0.905,30.8,350,1380,70,0.02,110,1.4,Conforme,
QC-2026-0008,LOT-2026-0008,2026-01-16 12:30:00,Miguel Torres,0.06,0.960,26.5,750,1280,68,0.02,160,1.1,Conforme,
QC-2026-0009,LOT-2026-0009,2026-01-16 15:00:00,Laura Sánchez,3.5,0.940,18.5,650,95,55,0.03,280,0.6,Conforme,
QC-2026-0010,LOT-2026-0010,2026-01-16 17:30:00,Miguel Torres,2.2,0.921,14.5,480,175,40,0.01,780,0.9,No conforme,Humedad fuera de especificación
QC-2026-0011,LOT-2026-0011,2026-01-17 07:30:00,Laura Sánchez,4.2,0.906,33.0,420,1460,73,0.03,115,1.6,Conforme,
QC-2026-0012,LOT-2026-0012,2026-01-17 09:45:00,Miguel Torres,0.34,0.953,28.8,860,1155,66,0.02,175,1.2,Conforme,
QC-2026-0013,LOT-2026-0013,2026-01-17 12:00:00,Laura Sánchez,0.80,1.338,54.5,310,2750,84,0.04,320,1.9,Conforme,
QC-2026-0014,LOT-2026-0014,2026-01-17 15:30:00,Miguel Torres,2.4,0.924,15.0,530,182,42,0.01,230,0.8,Conforme,
QC-2026-0015,LOT-2026-0015,2026-01-17 17:45:00,Laura Sánchez,6.8,0.904,31.2,360,1400,71,0.02,105,1.3,Conforme,
QC-2026-0016,LOT-2026-0016,2026-01-18 07:30:00,Miguel Torres,0.07,0.959,26.8,760,1290,67,0.025,170,1.15,Conforme,MFI dentro de tolerancia
QC-2026-0017,LOT-2026-0017,2026-01-18 10:00:00,Laura Sánchez,5.5,0.945,20.2,700,110,60,0.03,260,0.5,Conforme,
QC-2026-0018,LOT-2026-0018,2026-01-18 12:30:00,Miguel Torres,2.0,0.921,15.5,560,188,43,0.01,240,0.75,Conforme,
QC-2026-0019,LOT-2026-0019,2026-01-18 15:00:00,Laura Sánchez,3.9,0.905,32.8,410,1455,72,0.03,118,1.55,Conforme,
QC-2026-0020,LOT-2026-0020,2026-01-18 17:30:00,Miguel Torres,0.35,0.952,28.4,845,1148,65,0.02,185,1.25,Conforme,
QC-2026-0021,LOT-2026-0021,2026-01-19 07:30:00,Laura Sánchez,0.79,1.341,55.2,325,2810,85,0.04,340,2.0,Conforme,
QC-2026-0022,LOT-2026-0022,2026-01-19 10:00:00,Miguel Torres,2.35,0.924,14.9,525,181,41,0.01,225,0.72,Conforme,
QC-2026-0023,LOT-2026-0023,2026-01-19 12:30:00,Laura Sánchez,6.9,0.904,31.0,355,1390,70,0.02,108,1.35,Conforme,
QC-2026-0024,LOT-2026-0024,2026-01-19 15:00:00,Miguel Torres,0.065,0.958,26.6,755,1285,68,0.02,165,1.12,Conforme,
QC-2026-0025,LOT-2026-0025,2026-01-19 17:30:00,Laura Sánchez,3.4,0.939,18.8,660,98,56,0.03,275,0.58,Conforme,
