timestamp,punto_emision,contaminante,valor,unidad,limite_legal,cumple_normativa,metodo_medicion,observaciones
2026-01-15 00:00:00,CHIMENEA-01,NOx,85.2,mg/Nm3,150,SI,CEMS continuo,
2026-01-15 00:00:00,CHIMENEA-01,CO,12.5,mg/Nm3,100,SI,CEMS continuo,
2026-01-15 00:00:00,CHIMENEA-01,COV,18.3,mg/Nm3,50,SI,CEMS continuo,
2026-01-15 00:00:00,CHIMENEA-01,Particulas,8.2,mg/Nm3,20,SI,CEMS continuo,
2026-01-15 00:00:00,CHIMENEA-02,NOx,72.8,mg/Nm3,150,SI,CEMS continuo,
2026-01-15 00:00:00,CHIMENEA-02,CO,9.8,mg/Nm3,100,SI,CEMS continuo,
2026-01-15 00:00:00,CHIMENEA-02,COV,15.6,mg/Nm3,50,SI,CEMS continuo,
2026-01-15 00:00:00,CHIMENEA-02,Particulas,6.5,mg/Nm3,20,SI,CEMS continuo,
2026-01-15 06:00:00,CHIMENEA-01,NOx,92.5,mg/Nm3,150,SI,CEMS continuo,Producción alta
2026-01-15 06:00:00,CHIMENEA-01,CO,14.2,mg/Nm3,100,SI,CEMS continuo,
2026-01-15 06:00:00,CHIMENEA-01,COV,21.8,mg/Nm3,50,SI,CEMS continuo,
2026-01-15 06:00:00,CHIMENEA-01,Particulas,9.8,mg/Nm3,20,SI,CEMS continuo,
2026-01-15 12:00:00,CHIMENEA-01,NOx,105.3,mg/Nm3,150,SI,CEMS continuo,Pico producción
2026-01-15 12:00:00,CHIMENEA-01,CO,16.8,mg/Nm3,100,SI,CEMS continuo,
2026-01-15 12:00:00,CHIMENEA-01,COV,28.5,mg/Nm3,50,SI,CEMS continuo,
2026-01-15 12:00:00,CHIMENEA-01,Particulas,11.2,mg/Nm3,20,SI,CEMS continuo,
2026-01-15 12:00:00,VERTIDO-01,DQO,125,mg/L,160,SI,Analítica laboratorio,
2026-01-15 12:00:00,VERTIDO-01,DBO5,35,mg/L,40,SI,Analítica laboratorio,
2026-01-15 12:00:00,VERTIDO-01,SS,28,mg/L,35,SI,Analítica laboratorio,
2026-01-15 12:00:00,VERTIDO-01,pH,7.2,pH,6.0-9.0,SI,Medición continua,
2026-01-15 12:00:00,VERTIDO-01,Temperatura,24.5,°C,30,SI,Medición continua,
2026-01-16 00:00:00,CHIMENEA-01,NOx,82.1,mg/Nm3,150,SI,CEMS continuo,
2026-01-16 00:00:00,CHIMENEA-01,CO,11.8,mg/Nm3,100,SI,CEMS continuo,
2026-01-16 00:00:00,CHIMENEA-01,COV,17.5,mg/Nm3,50,SI,CEMS continuo,
2026-01-16 00:00:00,CHIMENEA-01,Particulas,7.8,mg/Nm3,20,SI,CEMS continuo,
2026-01-16 06:00:00,CHIMENEA-01,NOx,95.8,mg/Nm3,150,SI,CEMS continuo,
2026-01-16 06:00:00,CHIMENEA-01,CO,15.1,mg/Nm3,100,SI,CEMS continuo,
2026-01-16 06:00:00,CHIMENEA-01,COV,22.4,mg/Nm3,50,SI,CEMS continuo,
2026-01-16 06:00:00,CHIMENEA-01,Particulas,10.1,mg/Nm3,20,SI,CEMS continuo,
2026-01-17 12:00:00,VERTIDO-01,DQO,132,mg/L,160,SI,Analítica laboratorio,
2026-01-17 12:00:00,VERTIDO-01,DBO5,38,mg/L,40,SI,Analítica laboratorio,
2026-01-17 12:00:00,VERTIDO-01,SS,31,mg/L,35,SI,Analítica laboratorio,
2026-01-17 12:00:00,VERTIDO-01,pH,7.4,pH,6.0-9.0,SI,Medición continua,
2026-01-17 12:00:00,VERTIDO-01,Temperatura,25.2,°C,30,SI,Medición continua,
