recepcion_id,fecha_recepcion,proveedor,material,grado,cantidad_kg,silo_destino,lote_proveedor,certificado_calidad,fecha_caducidad,precio_eur_kg,estado,humedad_entrada_ppm,temperatura_c,observaciones
MP-2026-0001,2026-01-10 08:30:00,SABIC,HDPE,SABIC HDPE B5429,25000,SILO-01,SAB-240115-A,SI,2027-01-10,1.25,Aprobado,150,22,
MP-2026-0002,2026-01-10 10:15:00,LyondellBasell,LDPE,Lupolen 2420 D,18000,SILO-03,LYB-240110-B,SI,2027-01-10,1.18,Aprobado,180,21,
MP-2026-0003,2026-01-11 09:00:00,Borealis,PP,BorPure RF365MO,22000,SILO-05,BOR-240111-A,SI,2027-01-11,1.32,Aprobado,95,20,
MP-2026-0004,2026-01-12 08:45:00,Indorama,PET,Polyclear PET 1101,15000,SILO-07,IND-240112-C,SI,2026-07-12,1.45,Aprobado,280,23,
MP-2026-0005,2026-01-12 14:30:00,SABIC,HDPE,SABIC HDPE B5429,25000,SILO-02,SAB-240112-B,SI,2027-01-12,1.25,Aprobado,145,22,
MP-2026-0006,2026-01-13 09:30:00,Versalis,EVA,Greenflex ML 30,8000,SILO-09,VER-240113-A,SI,2026-07-13,1.85,Aprobado,220,24,
MP-2026-0007,2026-01-14 08:00:00,LyondellBasell,LDPE,Lupolen 1840 D,20000,SILO-04,LYB-240114-A,SI,2027-01-14,1.15,Aprobado,175,21,
MP-2026-0008,2026-01-15 10:00:00,Borealis,PP,BorPure RF365MO,24000,SILO-06,BOR-240115-B,SI,2027-01-15,1.32,Aprobado,90,20,
MP-2026-0009,2026-01-16 08:30:00,SABIC,HDPE,SABIC HDPE CC253,28000,SILO-01,SAB-240116-A,SI,2027-01-16,1.28,Aprobado,155,22,
MP-2026-0010,2026-01-16 11:00:00,Indorama,PET,Polyclear PET 1101,12000,SILO-08,IND-240116-D,SI,2026-07-16,1.45,Aprobado,295,24,
MP-2026-0011,2026-01-17 09:00:00,LyondellBasell,LDPE,Lupolen 2420 D,16000,SILO-03,LYB-240117-B,SI,2027-01-17,1.18,En cuarentena,520,22,Humedad elevada - secar antes de uso
MP-2026-0012,2026-01-18 08:15:00,Borealis,PP,BorEalis RB307MO,20000,SILO-05,BOR-240118-A,SI,2027-01-18,1.38,Aprobado,88,19,
MP-2026-0013,2026-01-18 14:00:00,Versalis,EVA,Greenflex FC 45,6500,SILO-10,VER-240118-B,SI,2026-07-18,1.92,Aprobado,235,25,
MP-2026-0014,2026-01-19 08:45:00,SABIC,HDPE,SABIC HDPE B5429,26000,SILO-02,SAB-240119-C,SI,2027-01-19,1.25,Aprobado,148,21,
MP-2026-0015,2026-01-19 11:30:00,LyondellBasell,LDPE,Lupolen 1840 D,18000,SILO-04,LYB-240119-A,SI,2027-01-19,1.15,Aprobado,170,20,
